,ANN
RGB_oc,0.646
RGB_phc_oc,0.633
RGB_phh_oc,0.628
RGB_ec_oc,0.638
RGB_caco3_oc,0.631
RGB_p_oc,0.638
RGB_n_oc,0.641
RGB_k_oc,0.626
RGB_stones_oc,0.632
