,ANN
RGB_oc,0.643
RGB_phc_oc,0.63
RGB_phh_oc,0.635
RGB_ec_oc,0.642
RGB_caco3_oc,0.621
RGB_p_oc,0.641
RGB_n_oc,0.638
RGB_k_oc,0.627
RGB_stones_oc,0.646
