,RGB_oc,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.6523237156065722,0.6581898567793965,0.6360552315806731,0.6425064998903938,0.6470461627949013,0.6401323699955948,0.6374582133643041,0.624170013719576,0.6214183784032753
I-0-1,0.6450542526533998,0.6448633741616475,0.6329239250885976,0.6406739475318448,0.6107435308007653,0.6438509979952202,0.6414453767549949,0.6134707652285087,0.6405739312077554
I-0-2,0.6319790609952445,0.616040724571881,0.6197491002305064,0.6406602185165038,0.624560914777082,0.629900249649028,0.6408153999414139,0.6270010040318514,0.6403651170077789
I-0-3,0.6334033206344121,0.6205115115288329,0.6663160902309155,0.640056546457836,0.6146765058568742,0.6480394328663199,0.6388701086487316,0.6352477701042025,0.6287390072358244
I-0-4,0.6426263166636343,0.6290295490087271,0.6281095203374149,0.6410591415425325,0.6202497555209405,0.6414808150657427,0.6405707174941659,0.6082543121790122,0.6390923048832375
I-0-5,0.6500380686656211,0.6284745207711531,0.6692196697755712,0.6363634227981041,0.6029007955100818,0.6426963887006372,0.6380195413508589,0.6251873572304258,0.6097482928717801
I-0-6,0.6482096872306691,0.6251573427356154,0.6305207862332565,0.6603939639833778,0.6208016914754013,0.6413169577983546,0.6215925556289105,0.6149844651081182,0.6215296636202965
I-0-7,0.639348920939549,0.6649530359805393,0.6380405603277948,0.6368046742784546,0.6132848879862054,0.6352737149244476,0.6413757183813207,0.630908042369055,0.6428890921193299
I-0-8,0.6474783920079363,0.6216216249068621,0.6376942452300824,0.6367237003489608,0.6126060566110005,0.6401330668406642,0.6377190170440344,0.6425385481773899,0.6424636666747209
I-0-9,0.6507856902484979,0.6314701482048104,0.619725082994355,0.6431000639331309,0.6165813092579975,0.6312117153391894,0.6390572730420926,0.6277271499467243,0.6178199814742326
