,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.6551676918142044,0.6669450504937192,0.6618078492293455,0.6470559975743033,0.6622134239471273,0.6656319934818321,0.6689525366093431,0.6459136601934508
I-0-1,0.6492527751619297,0.6637559719640447,0.6653492622889993,0.651386762964689,0.6613158869773268,0.6597721968482964,0.6552001000698927,0.6619651205067432
I-0-2,0.6646296324293197,0.6403341560909106,0.6670238825474663,0.6619863543743425,0.6549916653792691,0.644341486552295,0.6576598744296446,0.6436836484256603
I-0-3,0.6615075163076447,0.6546750804364482,0.6571329234659311,0.6675524245219966,0.6484447722947261,0.6428711843837168,0.6395839673608252,0.6628639086263796
I-0-4,0.6604095544054295,0.6588824694324935,0.6656013717955311,0.6537882433001321,0.6560213487003175,0.6642280285125427,0.6716620313268256,0.6268707292882876
I-0-5,0.6559313622777566,0.6588731834067979,0.6652250640909785,0.6286271702776107,0.6733978154562609,0.667225639577447,0.6570029081730293,0.6681680268443769
I-0-6,0.6649698865417557,0.6557220786974391,0.6176415035710469,0.6266264437764191,0.655730884255292,0.6700141110389516,0.6522185867429342,0.6718991693441009
I-0-7,0.6539438344342021,0.6617989690418783,0.662697800786212,0.664688102300026,0.6651604106979196,0.6596195690741702,0.6306376236901148,0.6652637665298728
I-0-8,0.6684997524864196,0.6629866923947226,0.6558866827780132,0.6632390656778493,0.6488723236126137,0.6470270897070634,0.6645644867874,0.6604165726387368
I-0-9,0.6395238023658237,0.6513544034327885,0.6367289036615458,0.6699423691741551,0.6685494454936778,0.6614380453024499,0.6454295307243182,0.6437081025399594
