,ANN
RGB_phc_oc,0.66
RGB_phh_oc,0.659
RGB_ec_oc,0.658
RGB_caco3_oc,0.649
RGB_p_oc,0.656
RGB_n_oc,0.664
RGB_k_oc,0.66
RGB_stones_oc,0.658
