,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.6672867863883067,0.663640922547716,0.6664003316829237,0.6014658655131664,0.6671897058913444,0.6648968716192603,0.6296395888334942,0.6638813084178266
I-0-1,0.6567389610305153,0.6734329723003301,0.6531859699884781,0.6534268900762732,0.6577624485049045,0.6681542387466362,0.6648232900434085,0.6682292594047443
I-0-2,0.643065973751487,0.655015280471899,0.6213910161429799,0.6173689315137944,0.6668966767593899,0.6662507001220983,0.66735021421286,0.655287697133581
I-0-3,0.6536072133083393,0.6649301545895754,0.6524903653538567,0.6673338265152022,0.6515982964490739,0.6716433331543554,0.6529944480436127,0.6672831148570354
I-0-4,0.6715062003833092,0.668593332040688,0.6706925765535467,0.6729401710964359,0.6294911877499456,0.656699266925154,0.670578107983153,0.6661086949313384
I-0-5,0.6717217355765339,0.6727595517049219,0.6675380610163149,0.673859386185039,0.6393741818872485,0.6676986575233574,0.6673591296028833,0.6312132310664433
I-0-6,0.6521636098143756,0.6634076575401133,0.6625257051658409,0.6535497111700219,0.6423256587463433,0.6681924656164676,0.670089865377844,0.6727978371422676
I-0-7,0.6556254620104973,0.6529988037328268,0.6632508729281384,0.6341241403579332,0.672533303723895,0.657467005526178,0.6485077390391158,0.632951909594667
I-0-8,0.6609376555678709,0.6350810068915382,0.6525671619992353,0.6649015354865413,0.6578810761200261,0.6594684249361367,0.6719315055086913,0.6670612012715242
I-0-9,0.6718229426745789,0.6447375905492438,0.6668184890077071,0.6554577576527435,0.6730288646319033,0.6571655477541565,0.6529383215267395,0.6587995893396408
