,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.667609894761537,0.6720218888446418,0.6677363461289261,0.660835707071149,0.6622343592402389,0.6651916981716471,0.6668685914663179,0.6573931025562123
I-0-1,0.6689463705628625,0.66210778143695,0.6520126821768523,0.6637515790471684,0.6712442124718636,0.6397153256117987,0.598039986165309,0.660761130877271
I-0-2,0.6693343129007006,0.669672347832091,0.6533037186330438,0.6611917261807213,0.6547217892484745,0.6643254904515876,0.6589263767871163,0.66762103524808
I-0-3,0.6630784654596079,0.6660899220142871,0.6452323258034498,0.6584843063078972,0.6634599963204032,0.6629551701125493,0.6434107290144724,0.6706405479115284
I-0-4,0.6614871150026531,0.6670800327802822,0.6259389956768224,0.6691954182250297,0.6611335809547368,0.6511793995784624,0.6514007357006225,0.6715092323692737
I-0-5,0.6478586045029734,0.6567041686142226,0.6570093788477394,0.6711988906076516,0.6524348369694548,0.6684110390321794,0.6504739032144029,0.622343229100173
I-0-6,0.6582668720803679,0.6413695345162254,0.6715186760614176,0.66398635107886,0.6598782688825628,0.6486567213579906,0.6439150156491451,0.6702531270069022
I-0-7,0.6477288233275884,0.6647452000308711,0.6544453586582076,0.6503018865328382,0.6635423701946589,0.6726687941859562,0.6721554702753454,0.6668490502588584
I-0-8,0.6676492374912641,0.6559744115038373,0.665962546493892,0.6453937009205417,0.6640241698037077,0.665810501581228,0.6619883961899319,0.675215184840882
I-0-9,0.6465190042331481,0.6662045605842687,0.6655507189612624,0.6675129514563378,0.6508754597619913,0.6650825311229738,0.661123549331424,0.667450492131558
