665,560,490,phc,phh,ec,caco3,p,n,k,elevation,lc1,lu1,stones,clay,sand,silt,oc
0.64975,0.733279,0.840487,4.4,4.88,18.46,0,25.7,3.7,128.7,752,C21,U120,1,9.0,33.0,58.0,37.3
0.949814,1.053388,1.118021,3.2,3.98,47.6,0,63.1,15.9,411.3,915,C23,U120,1,7.0,49.0,44.0,308.3
0.777104,0.894889,1.003041,4.0,4.52,16.02,0,25.3,5.5,175.8,1231,C21,U120,2,8.0,55.0,37.0,96.3
0.767413,0.904518,1.019326,4.3,4.53,47.6,0,19.6,5.9,189.2,1217,E20,U111,1,10.0,32.0,58.0,97.6
0.698903,0.808419,0.94929,6.4,6.6,37.3,1,14.3,3.0,87.1,1023,E20,U111,1,15.0,32.0,53.0,27.9
0.667522,0.793536,0.925768,5.1,5.38,53.5,0,29.0,5.2,151.7,1162,E20,U111,1,9.0,33.0,57.0,44.8
0.597203,0.707054,0.865631,4.3,4.5,25.0,0,17.0,3.0,81.0,999,E20,U111,1,15.0,24.0,61.0,26.2
0.719406,0.798904,0.92763,4.9,5.16,20.9,0,4.4,2.0,58.0,1075,C21,U120,1,16.0,33.0,51.0,24.6
0.773123,0.871984,0.973019,6.7,6.85,44.2,6,19.2,3.7,117.4,1135,B75,U111,2,7.0,54.0,40.0,35.0
0.785826,0.940101,1.037602,3.9,4.5,18.14,0,26.1,6.4,159.7,1736,C21,U111,1,7.0,46.0,47.0,98.0
0.631237,0.749663,0.882363,6.9,7.18,52.5,119,10.7,4.0,138.6,1213,E20,U111,1,13.0,35.0,53.0,36.0
0.706834,0.846096,0.977733,4.0,4.55,14.35,0,18.0,5.1,220.8,1234,C21,U120,1,9.0,46.0,45.0,88.8
0.764651,0.915946,1.019915,3.8,4.28,32.2,0,40.2,6.3,213.6,1247,C21,U120,1,7.0,49.0,44.0,105.2
0.575331,0.672183,0.775076,4.0,4.1,28.4,0,31.0,3.4,83.6,872,E20,U111,1,10.0,24.0,66.0,29.2
0.680877,0.78325,0.896692,4.6,4.98,21.7,1,23.8,3.0,133.7,948,E20,U111,1,6.0,53.0,41.0,25.4
0.770685,0.895954,0.987591,3.2,3.82,15.72,0,14.2,5.1,124.4,838,C21,U120,1,8.0,50.0,42.0,108.3
0.637532,0.770834,0.921078,4.0,4.54,10.39,0,12.7,2.8,111.0,981,C21,U120,1,10.0,46.0,44.0,43.6
0.718727,0.852733,0.975093,3.8,4.51,16.97,1,17.3,5.0,230.3,1142,C21,U120,1,8.0,53.0,39.0,95.4
0.834833,0.932035,1.014985,5.2,5.35,96.6,6,19.9,6.7,306.5,1595,C21,U120,1,9.0,44.0,48.0,106.4
0.708848,0.8038,0.882931,3.8,4.25,21.8,0,13.9,4.5,182.2,1088,C21,U120,1,8.0,49.0,43.0,82.2
0.795485,0.899264,1.016795,4.2,4.5,33.1,0,12.1,3.8,43.4,1143,C31,U120,1,8.0,48.0,44.0,47.0
0.7133,0.832031,0.926916,3.6,4.16,12.08,0,15.8,3.5,65.8,897,C21,U120,1,13.0,38.0,49.0,55.0
0.673348,0.789859,0.903055,4.3,4.74,16.71,1,30.0,4.7,166.5,1830,C21,U120,3,9.0,43.0,48.0,83.3
0.62739,0.742884,0.851334,6.9,7.08,53.9,48,12.4,4.3,91.2,1179,E10,U111,1,21.0,18.0,61.0,54.1
0.727661,0.838426,0.930681,3.6,4.17,16.27,0,25.9,5.8,89.2,1319,C21,U120,1,8.0,42.0,51.0,88.6
0.670261,0.826961,0.969607,3.7,3.9,30.1,1,16.4,4.3,88.9,1745,E10,U120,1,11.0,33.0,55.0,89.2
0.727285,0.860854,0.980455,5.3,5.74,13.07,0,15.8,5.5,127.0,1015,C31,U120,1,8.0,51.0,41.0,73.4
0.794134,0.913183,1.00519,4.1,4.47,41.5,0,49.5,6.2,110.9,1206,C31,U120,4,6.0,48.0,46.0,95.1
0.853681,0.96036,1.030102,4.4,4.61,94.2,2,42.4,9.4,235.1,951,C21,U120,4,7.0,50.0,43.0,150.9
0.646738,0.755836,0.885358,5.0,5.44,21.5,0,15.7,4.4,86.8,1158,E20,U111,1,14.0,28.0,58.0,40.0
0.65859,0.782998,0.914473,4.6,4.97,26.1,0,19.4,5.9,152.5,680,E20,U111,1,15.0,22.0,62.0,52.1
0.663296,0.785333,0.91852,4.8,5.03,61.4,0,23.9,4.5,150.9,777,E20,U111,1,13.0,32.0,55.0,33.7
0.868938,0.981302,1.05831,3.2,3.89,26.3,0,28.0,8.8,137.7,1277,C21,U120,1,7.0,53.0,40.0,194.9
0.822219,0.941149,1.025281,3.7,4.38,15.35,0,32.9,8.5,175.1,848,C21,U120,1,8.0,61.0,32.0,153.9
0.763654,0.867018,0.959457,4.7,4.8,80.8,3,48.4,5.8,132.2,1084,C21,U120,1,5.0,60.0,34.0,73.3
0.732322,0.877621,1.005609,3.9,4.54,18.74,0,52.1,5.0,133.7,1343,C21,U120,1,7.0,48.0,45.0,79.2
0.769917,0.900376,1.014755,3.7,4.16,39.8,0,32.3,8.3,197.8,1466,C21,U120,1,8.0,47.0,45.0,124.9
0.614181,0.697775,0.811973,4.4,4.57,48.6,0,16.7,3.7,67.8,710,E20,U111,1,12.0,26.0,62.0,31.2
0.760172,0.835327,0.934428,4.1,4.34,40.1,0,25.6,4.2,61.9,692,C21,U120,1,14.0,33.0,53.0,54.3
0.889995,1.008063,1.071457,3.5,4.09,58.0,0,242.1,15.2,330.7,1230,C21,U120,1,5.0,56.0,38.0,260.5
0.753036,0.87436,0.9643,3.4,3.88,21.5,0,30.0,10.0,172.8,819,C21,U120,1,16.0,25.0,59.0,140.1
0.654952,0.748058,0.855112,4.4,4.69,51.8,0,35.0,5.3,147.2,1077,E20,U111,1,14.0,24.0,62.0,46.9
0.775123,0.877709,0.963013,6.9,7.0,55.4,7,64.8,6.2,93.5,1014,E20,U111,1,10.0,33.0,56.0,64.7
0.630895,0.722791,0.812993,7.0,7.18,65.7,108,9.6,3.4,32.9,535,C10,U120,1,9.0,44.0,46.0,58.1
0.753567,0.857543,0.943655,6.4,6.68,45.4,50,58.6,7.2,190.4,1070,C21,U120,1,8.0,47.0,45.0,140.8
0.610351,0.718235,0.837214,5.3,5.54,71.5,0,9.4,4.0,67.5,1330,C21,U120,1,16.0,28.0,56.0,77.9
0.625791,0.74911,0.881655,6.6,6.89,60.3,5,0.0,4.1,62.1,1049,C33,U120,1,19.0,26.0,55.0,62.7
0.714015,0.828085,0.909149,6.9,6.98,120.9,295,24.4,8.0,206.6,1044,C10,U120,1,20.0,27.0,53.0,120.6
0.621158,0.764236,0.904429,4.6,4.95,52.0,1,16.9,4.2,85.0,1090,C31,U410,1,10.0,45.0,45.0,47.9
0.752363,0.852679,0.921298,6.9,6.96,131.5,77,45.3,11.7,140.0,1050,E20,U111,1,13.0,29.0,58.0,161.7
0.483961,0.614726,0.773946,5.6,5.77,52.0,1,7.2,3.6,54.0,1406,C21,U120,1,38.0,10.0,53.0,39.4
0.614905,0.735642,0.857824,4.5,4.9,76.5,0,33.7,6.6,117.9,1026,E20,U111,1,14.0,25.0,61.0,57.4
0.659631,0.779176,0.902827,6.7,6.86,35.4,20,11.0,5.5,87.2,1342,E20,U111,1,18.0,21.0,61.0,47.2
0.638917,0.765781,0.87651,4.7,4.95,55.2,0,54.7,4.2,44.0,1107,E20,U111,1,10.0,38.0,52.0,40.3
0.773183,0.887028,0.984405,4.0,4.28,48.4,0,22.1,6.1,66.1,1042,C21,U120,1,8.0,40.0,52.0,70.6
0.805535,0.892534,0.999079,5.2,5.46,76.1,2,12.7,4.6,67.4,1483,C10,U420,1,5.0,59.0,36.0,68.8
0.683036,0.774885,0.866178,6.9,7.0,54.9,26,18.6,5.6,137.9,431,E20,U111,1,19.0,16.0,65.0,63.3
0.613915,0.722622,0.849099,6.8,6.97,54.4,3,12.3,2.0,183.3,1247,E20,U111,2,9.0,52.0,39.0,19.7
0.755414,0.884487,0.976273,3.9,4.13,111.4,0,31.5,6.9,228.4,1440,C21,U120,1,8.0,52.0,39.0,146.2
0.771087,0.911059,1.003439,4.2,4.63,44.5,0,31.1,7.4,71.7,1438,C21,U120,1,6.0,65.0,30.0,108.2
0.941373,1.0558,1.119082,6.0,6.22,264.0,12,36.1,13.0,424.0,1237,C23,U120,1,10.0,44.0,46.0,259.9
1.004179,1.149463,1.200761,4.1,4.41,135.9,1,78.4,16.5,75.2,1241,C23,U120,1,6.0,63.0,31.0,328.0
0.842888,0.969705,1.048985,5.8,6.05,133.1,2,25.9,10.2,173.5,1183,C23,U120,1,21.0,19.0,59.0,135.9
0.721591,0.831731,0.894147,6.8,7.04,82.0,100,17.9,5.4,172.1,1308,C23,U120,2,9.0,32.0,59.0,163.9
0.88394,1.010196,1.081203,6.7,6.78,109.7,36,15.4,10.6,122.4,1727,C21,U111,2,21.0,21.0,58.0,153.1
0.687612,0.797588,0.906868,7.0,7.1,58.9,27,16.2,4.5,44.8,1370,E20,U111,1,13.0,27.0,60.0,34.3
0.535207,0.681902,0.837205,4.1,4.27,23.7,1,11.5,3.0,40.5,1310,E10,U120,2,11.0,38.0,51.0,30.1
0.67774,0.832023,0.944108,3.8,4.34,10.27,1,22.7,4.3,168.4,1270,C21,U120,1,7.0,55.0,38.0,80.1
0.621895,0.750798,0.858775,4.0,4.21,89.5,0,26.7,7.1,276.3,1290,C21,U120,1,21.0,25.0,53.0,89.9
0.969522,1.133862,1.186713,3.6,4.25,107.5,0,95.9,19.6,598.4,1310,C31,U120,1,2.0,82.0,16.0,388.3
0.57705,0.664654,0.812925,4.3,4.76,3.76,1,6.0,1.7,30.3,1490,C21,U120,1,9.0,48.0,42.0,20.5
0.937762,1.011578,1.046866,6.1,6.28,226.0,5,86.9,28.9,521.3,1415,E20,U111,1,4.0,75.0,22.0,291.3
0.728652,0.81002,0.913134,7.0,7.24,54.1,70,12.9,3.3,61.0,1380,E20,U111,1,9.0,37.0,54.0,33.6
0.549072,0.659121,0.769644,6.4,6.85,10.83,1,0.0,2.1,172.9,1010,C31,U120,2,38.0,9.0,53.0,33.2
0.503201,0.65833,0.833811,5.2,5.57,18.22,2,0.0,2.3,49.8,1058,C31,U120,4,29.0,15.0,56.0,36.5
0.815742,0.902743,1.012437,5.0,5.27,29.1,0,5.2,2.4,18.1,1249,C23,U120,1,9.0,47.0,44.0,27.6
0.644217,0.789402,0.937319,4.6,5.04,10.8,1,5.5,2.1,46.9,1015,E10,U111,2,9.0,51.0,39.0,21.5
0.627804,0.78556,0.937964,4.0,4.54,10.74,0,16.2,3.3,147.0,1407,D10,U120,3,6.0,62.0,32.0,45.1
0.916135,1.034091,1.10814,6.1,6.3,46.6,5,16.4,11.4,362.5,1048,C31,U120,2,16.0,35.0,49.0,156.3
0.855114,0.97414,1.071897,5.9,6.17,89.6,1,21.7,4.8,133.9,1023,C21,U120,1,6.0,51.0,43.0,62.0
0.729787,0.838268,0.911766,4.7,5.15,24.8,0,9.1,7.9,60.6,1398,E30,U120,1,10.0,45.0,45.0,105.4
0.92372,1.023115,1.08101,6.9,7.05,94.2,7,61.4,19.7,1498.4,1350,E10,U111,1,4.0,75.0,21.0,265.0
0.620051,0.728597,0.851953,4.6,5.15,11.47,1,10.2,3.5,81.7,628,C31,U120,1,21.0,25.0,54.0,41.9
0.617811,0.731925,0.850093,5.3,5.81,9.06,0,19.6,2.8,111.6,0,E10,U111,1,10.0,57.0,33.0,30.6
0.513952,0.645206,0.827276,4.8,5.1,19.53,0,42.0,3.1,186.8,260,B33,U111,1,25.0,12.0,63.0,25.6
1.011633,1.119892,1.167727,6.8,6.85,32.7,23,70.2,16.3,284.0,549,C31,U120,1,5.0,63.0,31.0,368.3
0.86353,0.979274,1.05769,6.4,6.47,116.2,109,36.8,10.2,169.8,1188,C31,U120,1,15.0,42.0,43.0,190.2
0.578036,0.674306,0.766599,4.5,5.01,10.75,0,54.2,3.3,85.9,793,C21,U120,2,12.0,44.0,44.0,34.8
0.874092,0.968903,1.017642,3.8,4.24,94.3,0,67.9,17.2,452.4,0,C21,U120,4,4.0,68.0,28.0,328.5
0.876678,0.98246,1.032958,6.3,6.42,131.3,13,36.2,15.9,267.4,820,C33,U120,1,6.0,67.0,27.0,334.7
