665,560,490,phc,phh,ec,caco3,p,n,k,elevation,lc1,lu1,stones,clay,sand,silt,oc
0.758103,0.927362,0.999673,3.3,4.13,32.8,1,75.9,6.3,225.0,1474,C32,U120,3,8.0,50.0,42.0,189.1
0.585449,0.735169,0.853015,4.3,4.69,9.34,1,5.7,1.2,74.3,1465,C22,U120,1,13.0,55.0,32.0,24.1
0.520404,0.625218,0.697697,4.3,4.55,26.7,1,22.3,1.3,47.7,1128,C22,U120,1,9.0,59.0,32.0,24.4
0.521636,0.633469,0.734219,4.2,4.7,4.17,1,0.0,0.9,37.2,1213,C22,U120,1,11.0,64.0,25.0,16.7
0.665223,0.865397,0.996371,7.1,7.24,30.2,27,5.8,4.4,493.9,1021,C23,U420,2,25.0,20.0,55.0,51.2
0.479446,0.651774,0.835538,7.5,7.95,14.77,96,6.5,0.7,206.2,1040,B13,U111,1,29.0,36.0,35.0,2.8
0.521831,0.718363,0.882274,7.0,7.28,10.7,3,0.0,0.8,130.3,1012,D10,U120,1,15.0,57.0,28.0,8.6
0.538926,0.720969,0.859789,4.6,4.95,12.68,1,10.6,2.2,106.1,1018,E20,U111,1,16.0,45.0,39.0,24.0
0.555595,0.705149,0.834445,5.5,5.75,42.7,0,11.4,2.3,125.3,1009,C33,U120,1,15.0,44.0,40.0,27.7
0.651324,0.864518,1.009776,6.9,7.25,22.9,0,0.0,4.1,142.5,1443,E20,U111,3,26.0,15.0,59.0,37.4
0.547271,0.690662,0.819031,4.7,5.05,26.1,0,31.9,1.8,95.9,1037,C10,U120,1,13.0,58.0,28.0,17.3
0.570356,0.704887,0.811978,5.6,5.79,46.8,1,66.6,2.6,185.6,1058,E20,U111,1,11.0,55.0,34.0,23.3
0.508782,0.647412,0.759253,5.1,5.27,47.3,1,13.3,1.9,112.6,1133,C10,U120,1,15.0,44.0,41.0,19.6
0.505198,0.627659,0.734707,5.1,5.61,5.39,1,0.0,1.1,62.7,1139,C22,U120,1,15.0,53.0,32.0,20.5
0.74,0.823022,0.861147,3.9,4.57,7.94,0,12.2,1.5,48.1,1196,C10,U120,2,6.0,70.0,23.0,25.5
0.538903,0.643549,0.735803,4.2,4.71,4.26,0,6.5,0.8,35.6,1126,C22,U120,1,10.0,67.0,24.0,21.3
0.623144,0.752598,0.846117,6.4,6.59,64.6,0,40.4,3.1,57.3,1107,C10,U420,1,10.0,50.0,41.0,27.5
0.755986,0.842051,0.88168,3.2,4.1,8.54,0,11.4,1.6,31.4,1312,C22,U120,2,6.0,69.0,26.0,40.0
0.545456,0.726146,0.852333,5.5,5.86,12.1,1,7.3,1.3,89.4,1179,C10,U120,2,15.0,52.0,33.0,12.9
0.497226,0.619027,0.742851,7.4,8.1,12.89,296,28.1,1.1,161.3,61,B81,U111,2,21.0,50.0,29.0,11.7
0.573064,0.738252,0.87157,6.5,6.8,14.49,2,7.0,2.1,78.2,412,C10,U120,4,16.0,55.0,30.0,23.7
0.631124,0.736376,0.895435,6.8,7.14,5.09,0,0.0,0.2,22.8,178,C10,U120,1,8.0,74.0,18.0,1.9
0.615025,0.724893,0.836101,6.3,6.74,10.33,0,0.0,0.6,51.1,164,E20,U111,4,16.0,52.0,32.0,5.7
0.475114,0.627037,0.770659,5.5,5.73,13.88,1,0.0,0.8,75.2,338,C10,U120,4,14.0,56.0,30.0,8.5
0.614358,0.732775,0.872051,7.2,7.57,25.7,7,27.9,1.1,60.5,628,B15,U111,3,14.0,55.0,31.0,8.7
0.587303,0.713501,0.840091,5.9,6.15,5.38,0,6.2,1.7,76.0,964,D10,U111,4,4.0,76.0,20.0,15.6
0.520597,0.696327,0.833842,5.5,5.75,16.08,0,4.8,0.9,74.7,597,C10,U120,4,16.0,55.0,29.0,7.4
0.523464,0.688883,0.84795,5.7,6.14,4.39,1,28.8,0.8,163.2,706,B11,U111,3,23.0,28.0,49.0,6.0
0.493898,0.568172,0.654987,7.4,7.9,22.2,375,16.3,1.1,359.3,850,F40,U112,3,46.0,10.0,43.0,25.5
0.446631,0.636593,0.80905,7.5,8.14,11.44,223,13.4,0.6,153.7,887,B13,U111,4,34.0,28.0,39.0,4.3
0.533841,0.739851,0.904924,7.0,7.48,26.1,290,5.7,1.9,260.4,998,C33,U420,4,21.0,40.0,39.0,15.3
0.568111,0.7404,0.88894,7.3,7.77,14.97,181,39.2,2.6,269.7,1017,E20,U420,4,28.0,22.0,50.0,28.0
0.55475,0.653197,0.781699,7.6,8.33,13.81,84,0.0,0.6,102.8,1022,C33,U420,3,16.0,49.0,35.0,5.4
0.610059,0.741672,0.864673,6.9,7.08,106.5,385,26.0,6.9,345.3,1335,D10,U111,1,11.0,48.0,40.0,77.8
0.517111,0.673758,0.836997,5.6,5.88,9.7,0,6.2,1.7,67.5,1015,E20,U111,4,9.0,47.0,44.0,17.0
0.631694,0.79601,0.928632,7.6,8.05,18.47,302,16.1,1.3,237.4,1035,B11,U111,4,30.0,36.0,34.0,15.3
0.675279,0.863154,1.001704,7.0,7.12,132.6,113,49.5,6.7,685.1,1033,E20,U420,4,23.0,23.0,54.0,61.0
0.835192,0.945334,1.024324,4.3,4.61,36.0,0,25.6,4.0,79.3,1770,D20,U420,4,10.0,39.0,50.0,70.3
0.711829,0.789294,0.891227,5.8,6.15,14.63,1,9.0,1.7,124.1,1467,C22,U420,4,8.0,56.0,35.0,41.8
0.42556,0.545427,0.65982,7.4,7.93,18.43,603,47.1,1.2,156.5,1181,F40,U111,4,30.0,31.0,39.0,12.4
0.616115,0.739939,0.836861,7.4,7.85,18.09,650,10.9,2.8,204.2,1201,D20,U420,4,18.0,43.0,39.0,35.8
0.616402,0.729481,0.809541,7.4,7.83,20.4,592,15.3,2.8,121.3,1066,E20,U420,4,13.0,47.0,40.0,36.7
0.675024,0.79269,0.907619,7.5,7.85,23.1,26,8.9,1.8,240.2,809,D20,U420,4,14.0,50.0,37.0,14.9
0.528964,0.657439,0.775403,7.5,7.89,30.9,559,10.1,1.9,145.7,549,D10,U420,2,19.0,45.0,36.0,18.3
0.747715,0.848517,0.918143,6.8,6.97,327.0,27,380.6,12.2,3674.1,1469,B55,U111,1,12.0,41.0,46.0,119.2
0.800165,0.970155,1.069164,6.7,6.83,59.4,20,36.4,7.0,499.5,1470,C22,U120,1,17.0,39.0,44.0,112.5
0.617823,0.755329,0.882588,6.9,7.14,57.2,465,11.3,3.7,252.9,1452,C22,U420,1,14.0,53.0,33.0,84.2
0.615882,0.75965,0.85243,5.9,6.23,14.43,1,11.1,1.9,84.2,1005,C22,U420,4,12.0,50.0,38.0,34.9
0.412326,0.530206,0.667796,7.5,8.07,18.91,536,5.9,1.2,90.5,688,B74,U111,4,16.0,50.0,34.0,17.6
0.543041,0.649182,0.771969,7.2,7.64,18.57,604,8.4,2.9,233.3,1142,D10,U410,4,20.0,44.0,36.0,32.7
0.538089,0.730645,0.849564,7.3,7.89,18.25,148,5.6,1.7,131.5,1003,C22,U420,2,16.0,51.0,33.0,35.8
0.536921,0.670448,0.823949,7.0,7.31,18.62,1,47.4,1.1,336.3,1214,B13,U111,1,23.0,49.0,28.0,8.9
0.484532,0.594426,0.796492,7.4,7.81,16.44,196,16.0,1.2,173.9,1104,B14,U111,1,27.0,26.0,46.0,13.8
0.492441,0.640252,0.782115,7.6,8.19,15.83,442,25.5,0.9,171.2,799,B13,U111,3,23.0,46.0,31.0,8.2
0.608581,0.739634,0.827796,7.4,7.81,27.9,468,9.7,3.1,170.9,682,D20,U111,1,16.0,36.0,48.0,39.5
0.598076,0.71107,0.847116,7.6,8.45,9.47,26,0.0,0.5,28.2,1051,D20,U420,4,7.0,56.0,37.0,3.2
0.797585,0.8115,0.873499,6.2,6.53,5.54,0,5.2,1.1,20.0,1440,C22,U120,4,6.0,55.0,39.0,14.1
0.689923,0.728009,0.810277,6.6,6.78,7.6,0,11.2,0.9,38.5,1384,C22,U420,4,5.0,61.0,34.0,15.9
0.585382,0.724281,0.842832,7.6,8.1,25.6,400,16.4,1.6,453.5,947,F40,U111,4,41.0,15.0,44.0,28.1
0.574405,0.742215,0.876331,7.7,8.1,17.52,409,10.0,0.8,203.8,1089,F40,U111,4,33.0,33.0,34.0,10.1
0.50392,0.630623,0.757151,7.3,7.73,30.9,465,5.8,1.2,139.6,1195,D20,U420,4,13.0,55.0,32.0,14.4
0.498855,0.601813,0.704481,7.6,8.09,22.4,670,11.6,1.1,215.3,1021,B13,U111,4,34.0,20.0,45.0,10.1
0.538572,0.647428,0.746176,7.3,7.88,15.67,676,5.5,1.9,102.2,1200,D10,U420,4,13.0,48.0,39.0,24.2
0.691641,0.748425,0.845605,7.0,7.46,10.89,22,0.0,1.2,89.7,1305,D20,U420,4,6.0,59.0,35.0,9.9
0.705148,0.76743,0.86639,6.9,7.16,6.7,1,11.5,1.5,141.7,1233,D10,U420,4,13.0,34.0,53.0,12.1
0.713254,0.756198,0.841164,6.7,6.95,5.2,1,0.0,0.8,25.9,1148,C22,U120,4,13.0,31.0,56.0,5.2
0.703375,0.83836,0.981032,7.5,7.7,60.8,11,94.4,1.3,181.5,1107,F40,U112,1,19.0,39.0,42.0,7.3
0.549712,0.704288,0.845468,7.5,7.92,17.78,384,49.8,1.9,196.1,1015,B13,U111,4,34.0,18.0,48.0,20.4
0.561584,0.691674,0.808733,7.4,7.8,16.15,716,6.1,3.2,175.1,916,D10,U111,4,27.0,24.0,49.0,33.2
0.499826,0.675721,0.833839,6.3,6.48,8.05,1,5.0,1.4,110.2,835,C10,U120,4,14.0,42.0,43.0,14.4
0.566005,0.746775,0.906368,7.2,7.63,13.4,16,37.0,1.2,406.5,897,B13,U111,3,28.0,32.0,40.0,9.1
0.440708,0.548765,0.642088,7.5,7.55,226.0,415,5.7,1.3,80.2,761,C22,U120,2,21.0,33.0,45.0,44.4
0.578651,0.773958,0.942585,6.8,7.14,24.3,11,53.3,1.4,332.0,993,B13,U111,1,26.0,36.0,38.0,12.7
0.548365,0.665717,0.800462,7.4,7.86,18.57,766,5.3,1.6,126.5,1323,E10,U111,1,25.0,41.0,34.0,15.7
0.554474,0.670128,0.793924,7.1,7.58,18.34,421,7.3,2.6,312.3,1179,D20,U111,1,23.0,34.0,43.0,36.8
0.656231,0.837085,0.956609,7.1,7.28,54.7,132,14.5,4.0,392.6,1048,C32,U120,1,11.0,60.0,28.0,52.0
0.873838,1.01045,1.113491,7.1,7.3,52.9,34,16.6,6.4,335.5,1441,C23,U420,4,31.0,14.0,55.0,68.2
0.662491,0.854518,0.992391,7.6,8.05,15.3,142,5.9,1.1,197.8,928,B11,U111,4,31.0,33.0,36.0,7.0
0.624477,0.724291,0.827052,7.1,7.39,18.76,575,10.0,4.1,260.8,1442,D20,U111,4,20.0,35.0,45.0,43.9
0.683977,0.800423,0.904477,7.2,7.51,21.2,413,13.7,5.9,439.0,1266,D20,U111,4,22.0,30.0,48.0,65.5
0.449557,0.528036,0.655354,7.2,7.55,16.3,672,7.2,1.7,114.7,1171,D20,U111,4,24.0,36.0,39.0,22.1
0.459775,0.594523,0.760849,7.6,8.13,20.9,135,0.0,0.7,58.4,1094,C10,U420,4,15.0,59.0,26.0,7.3
0.58077,0.69589,0.795248,7.4,7.73,33.3,634,7.3,3.0,250.0,1244,D10,U420,4,31.0,22.0,47.0,34.2
0.567926,0.727461,0.874845,7.5,8.03,18.06,454,0.0,1.3,43.1,1153,E10,U420,4,12.0,62.0,26.0,4.6
0.703057,0.818982,0.905475,7.5,7.78,32.2,297,8.1,3.2,124.1,1437,E20,U420,4,21.0,24.0,55.0,59.8
0.719947,0.9181,1.050982,7.5,7.88,14.25,27,5.0,2.9,356.6,1172,D20,U420,4,35.0,19.0,47.0,44.5
0.757829,0.966484,1.095921,7.2,7.56,13.39,1,8.4,3.6,459.0,1417,D20,U420,4,34.0,17.0,49.0,40.8
0.571439,0.684381,0.784654,7.7,8.23,15.9,151,11.5,0.8,60.8,1074,B74,U111,3,13.0,55.0,32.0,7.7
0.340651,0.420711,0.54085,7.6,8.17,14.14,683,4.8,0.7,108.5,1079,E30,U410,4,49.0,15.0,36.0,7.9
0.691267,0.823347,0.939117,7.2,7.3,62.9,56,7.4,4.6,737.9,1335,C10,U420,4,40.0,13.0,47.0,41.4
0.447918,0.532847,0.670813,7.5,7.59,234.0,350,16.7,1.2,195.3,1425,A11,U410,4,39.0,16.0,45.0,10.9
0.640221,0.784442,0.90282,7.4,7.74,29.6,333,16.1,3.6,264.5,1071,D20,U420,4,16.0,38.0,46.0,67.6
0.505426,0.599557,0.700026,7.6,8.1,19.64,662,12.8,1.1,198.6,1098,F40,U112,4,43.0,18.0,38.0,12.2
0.430886,0.536722,0.637363,7.6,8.13,15.69,725,6.7,1.0,145.7,1211,F40,U112,4,40.0,22.0,38.0,4.7
0.326102,0.511595,0.666612,7.6,8.12,15.39,716,11.2,0.5,234.0,1157,B11,U111,3,52.0,18.0,30.0,1.0
0.379729,0.501636,0.624244,7.7,8.42,15.28,620,8.4,0.6,109.1,1254,A22,U312,4,24.0,46.0,30.0,22.7
0.671354,0.774228,0.855359,7.4,7.8,17.78,319,0.0,2.2,369.7,1222,C33,U420,3,31.0,19.0,50.0,46.7
0.52639,0.640669,0.714033,7.2,7.6,27.4,574,9.6,3.5,245.1,1118,C22,U420,1,15.0,39.0,46.0,64.7
0.520626,0.629758,0.717648,7.4,7.85,18.49,878,13.0,1.6,56.4,1248,C22,U420,4,11.0,66.0,24.0,18.9
0.594485,0.75749,0.893371,7.5,7.93,16.74,131,5.4,2.9,173.6,6,C22,U420,4,31.0,19.0,50.0,40.9
0.533656,0.630957,0.732268,7.2,7.6,17.76,243,8.3,1.8,108.3,1025,C22,U420,4,11.0,61.0,28.0,16.8
0.57747,0.667613,0.779367,7.4,7.93,13.73,38,5.4,0.8,89.8,1145,C10,U420,4,17.0,43.0,40.0,8.7
0.73053,0.862433,0.997831,6.8,6.94,27.2,1,58.3,5.8,355.0,1058,D10,U420,4,18.0,38.0,44.0,59.5
0.462329,0.534739,0.649756,7.5,7.96,20.8,103,8.3,1.4,151.5,1003,B74,U111,4,17.0,56.0,27.0,9.7
0.424393,0.47374,0.534227,7.8,8.29,35.4,270,12.9,0.6,35.1,1065,B74,U111,4,15.0,43.0,42.0,0.7
0.578003,0.818681,0.972836,7.6,8.09,13.77,11,8.2,0.7,185.7,1127,B74,U111,4,33.0,33.0,34.0,4.2
0.61771,0.708589,0.841715,7.5,7.98,14.94,136,8.1,1.2,125.1,1044,B74,U111,4,18.0,31.0,51.0,17.5
0.555752,0.631054,0.723548,7.4,7.8,17.79,2,0.0,0.7,54.1,1154,B74,U111,4,20.0,39.0,41.0,4.6
0.550811,0.624847,0.741342,7.6,8.14,11.04,76,0.0,1.0,90.3,1032,B74,U111,4,13.0,56.0,31.0,5.6
0.615903,0.74251,0.853729,6.5,6.61,19.97,1,11.3,2.3,121.0,1137,D20,U420,4,10.0,36.0,53.0,23.8
0.768535,0.77786,0.829717,7.6,8.38,8.62,87,0.0,0.3,90.8,1071,C22,U120,4,34.0,23.0,43.0,3.2
0.535895,0.666942,0.770975,7.5,7.8,27.6,184,16.0,1.9,161.5,998,B11,U111,4,36.0,24.0,41.0,24.0
0.551716,0.668599,0.814138,7.1,7.28,38.1,397,6.7,2.8,347.1,1156,C23,U420,1,21.0,36.0,43.0,23.9
0.661642,0.831851,0.972469,7.4,7.65,27.5,336,5.2,3.0,192.2,1115,C10,U420,4,26.0,26.0,48.0,30.0
0.694024,0.896892,1.032992,7.4,7.65,11.14,66,5.2,3.5,538.8,1138,B13,U111,3,34.0,10.0,56.0,28.2
0.655802,0.810349,0.929969,7.2,7.35,13.89,182,7.1,4.8,234.2,1203,D10,U420,4,42.0,21.0,37.0,73.0
0.614131,0.797915,0.972315,7.4,7.88,12.73,242,27.0,2.2,551.1,1202,C33,U420,4,20.0,21.0,58.0,29.2
0.612786,0.800059,0.892973,5.4,5.87,3.81,0,0.0,0.9,45.1,1118,D20,U420,4,8.0,68.0,24.0,14.0
0.684135,0.908426,1.051564,6.9,7.26,10.48,3,5.2,3.7,467.2,1110,C23,U420,4,37.0,14.0,49.0,36.6
0.776944,0.93782,1.06169,7.2,7.54,12.77,11,5.3,2.4,316.1,1082,C22,U420,2,33.0,21.0,46.0,33.0
0.618642,0.791073,0.949897,7.3,7.51,19.09,132,36.8,3.7,379.9,972,B13,U111,4,33.0,20.0,48.0,34.9
0.617679,0.818729,0.976415,7.5,7.8,10.85,191,7.0,2.3,352.4,1009,C10,U420,4,26.0,33.0,41.0,20.6
0.604567,0.789967,0.914635,7.5,7.61,8.38,32,0.0,1.1,125.2,1066,D10,U420,2,11.0,63.0,26.0,48.2
0.597334,0.827971,1.001386,7.1,7.43,16.61,11,63.4,2.7,526.8,1019,B13,U111,4,31.0,16.0,52.0,24.9
0.505882,0.649997,0.786134,7.5,7.8,16.52,492,7.6,3.1,132.0,955,D20,U420,4,24.0,26.0,50.0,28.3
0.887013,0.98099,1.051813,7.4,7.67,18.01,122,42.5,4.3,413.2,957,B13,U111,4,29.0,20.0,51.0,63.6
0.613761,0.779107,0.954175,7.4,7.78,11.18,55,10.4,1.6,352.6,1057,B13,U111,1,32.0,29.0,39.0,18.7
0.629583,0.766896,0.905959,7.5,8.01,12.58,487,25.8,1.4,222.8,1137,F40,U112,1,35.0,25.0,40.0,18.0
0.598509,0.729784,0.866155,7.4,7.82,10.85,396,0.0,2.2,472.6,1067,D10,U420,4,42.0,16.0,42.0,22.3
0.659034,0.787473,0.906069,7.3,7.63,11.36,287,0.0,2.8,635.3,1056,D20,U111,3,39.0,19.0,42.0,37.2
0.658758,0.8331,0.97078,7.1,7.48,15.67,139,0.0,3.7,744.6,1070,C10,U420,3,31.0,22.0,46.0,39.3
0.680996,0.871635,1.005217,6.9,7.2,12.65,16,10.3,4.1,608.0,1107,D20,U420,2,21.0,34.0,45.0,38.0
0.541577,0.698266,0.834787,7.2,7.61,16.42,458,5.6,3.4,258.2,1121,D10,U420,3,19.0,27.0,54.0,50.7
0.435692,0.517322,0.638991,7.3,7.79,17.43,618,12.7,1.2,250.9,1108,B13,U111,3,35.0,20.0,45.0,17.0
0.706577,0.83286,0.946505,7.0,7.24,16.24,211,7.1,4.8,691.7,1087,C23,U420,3,28.0,23.0,49.0,56.1
0.768415,0.955615,1.083155,7.1,7.19,14.66,11,8.9,5.9,560.6,1068,C23,U420,3,24.0,20.0,56.0,66.8
0.500788,0.61108,0.758438,7.2,7.61,12.5,217,5.6,2.2,233.9,1085,D10,U420,2,18.0,34.0,48.0,34.3
0.594284,0.772723,0.935743,7.4,8.02,12.64,328,0.0,1.9,268.5,1100,D20,U111,3,34.0,23.0,43.0,12.3
0.62732,0.797396,0.951257,6.1,6.32,7.18,0,5.1,2.3,137.3,955,C10,U420,4,24.0,34.0,42.0,22.2
0.550868,0.682404,0.799196,7.3,7.85,13.04,319,0.0,1.6,75.4,952,D20,U420,3,7.0,72.0,21.0,85.4
0.514837,0.720123,0.87887,7.6,8.15,15.61,255,32.6,1.1,225.9,1056,B13,U111,2,23.0,48.0,28.0,8.0
0.730058,0.884725,1.010063,7.1,7.39,18.5,431,10.2,5.3,468.3,999,C10,U420,3,15.0,43.0,42.0,70.9
0.364857,0.45969,0.562997,7.4,7.99,14.79,645,0.0,1.6,208.7,1011,D20,U420,3,40.0,28.0,32.0,12.8
0.485567,0.618258,0.849779,7.6,8.09,16.41,393,23.8,0.9,255.7,1026,B13,U111,3,37.0,34.0,29.0,9.1
0.544617,0.680376,0.830625,6.0,6.24,8.64,1,45.9,1.5,110.7,1009,B14,U111,4,16.0,46.0,38.0,13.4
0.676958,0.839659,0.982803,7.4,7.89,16.77,214,86.2,3.1,602.7,1017,B13,U111,4,30.0,27.0,43.0,33.1
0.419992,0.542212,0.660416,4.4,4.71,3.58,0,38.3,0.4,28.1,1075,B11,U111,4,8.0,75.0,17.0,3.9
0.615369,0.814234,0.951121,7.1,7.79,12.43,49,23.9,1.5,168.5,1009,B11,U111,1,28.0,28.0,44.0,12.7
0.492323,0.648047,0.808984,4.7,5.34,3.8,0,43.5,0.6,98.4,1068,F40,U112,2,8.0,76.0,16.0,4.9
0.596906,0.745373,0.877285,5.4,5.65,8.21,0,70.6,1.5,329.5,1087,B11,U111,3,29.0,35.0,37.0,13.5
0.485451,0.587469,0.718466,7.2,7.56,16.34,349,7.0,2.9,239.0,1083,C23,U420,4,29.0,22.0,49.0,62.8
0.711666,0.957638,1.116302,7.2,7.42,11.81,8,8.7,4.0,489.6,1145,C23,U420,3,23.0,23.0,54.0,40.5
0.664096,0.888746,1.04738,7.4,7.75,14.3,131,34.8,2.0,252.1,1150,B11,U111,3,24.0,34.0,42.0,33.8
0.516472,0.668775,0.848445,7.6,8.0,14.11,165,20.0,1.6,355.8,1131,F40,U112,3,39.0,27.0,34.0,28.8
0.70655,0.894362,1.041665,7.4,7.68,14.79,56,10.3,6.5,358.0,1365,D20,U420,4,25.0,12.0,63.0,58.2
0.655631,0.864901,1.023145,6.9,7.1,7.24,1,5.4,2.8,290.4,1391,D20,U420,4,28.0,15.0,57.0,29.5
0.542974,0.701109,0.835338,7.3,7.65,17.55,271,5.9,1.9,200.7,1271,C22,U420,4,15.0,44.0,42.0,64.7
0.770667,0.918209,1.03835,7.3,7.47,15.09,55,14.7,5.4,628.1,1461,D10,U420,3,29.0,14.0,56.0,51.0
0.700677,0.940582,1.104039,7.3,7.58,10.75,8,5.2,2.5,218.2,1300,C22,U420,4,32.0,14.0,54.0,27.9
0.553526,0.670283,0.810791,7.5,7.8,17.5,314,45.9,1.6,547.0,1061,B12,U111,4,46.0,17.0,37.0,16.3
0.71966,0.917287,1.046818,7.4,7.64,17.82,66,6.6,2.5,408.5,1159,C10,U420,4,29.0,20.0,51.0,32.3
0.679753,0.85182,0.993182,6.5,6.7,9.35,4,7.6,1.7,157.4,1407,C22,U120,4,20.0,42.0,38.0,35.4
0.645208,0.802949,0.916177,7.1,7.39,21.7,152,7.9,2.6,533.4,1011,C32,U420,1,14.0,49.0,37.0,46.0
0.674198,0.897639,1.037694,7.4,7.7,23.7,437,5.2,2.6,192.1,1036,C33,U420,4,27.0,22.0,51.0,31.6
0.606136,0.742892,0.860485,7.4,7.69,14.34,395,6.3,2.4,425.4,1021,D10,U420,3,29.0,20.0,51.0,23.9
0.593501,0.738587,0.893039,7.6,8.1,9.86,181,0.0,0.7,85.6,1368,B11,U111,3,12.0,68.0,20.0,15.4
0.580862,0.761312,0.94456,7.6,8.03,13.83,177,33.8,1.3,241.5,1268,B54,U111,1,27.0,42.0,31.0,11.1
0.594623,0.727426,0.864681,7.5,7.96,13.92,130,5.9,1.5,246.3,1334,D10,U420,3,33.0,21.0,47.0,32.7
0.61034,0.740282,0.861658,7.6,7.98,14.74,732,6.5,2.7,151.9,972,D20,U420,3,19.0,29.0,52.0,26.1
0.590497,0.729832,0.879894,6.2,6.45,12.31,1,6.2,2.4,191.3,1202,E20,U420,1,9.0,60.0,31.0,24.4
0.610034,0.725194,0.861543,6.8,7.03,8.03,0,21.2,2.1,138.5,1342,B11,U111,2,25.0,31.0,44.0,19.7
0.583694,0.765671,0.93814,7.3,7.76,16.39,261,6.5,2.4,230.8,1356,C22,U420,2,20.0,35.0,45.0,38.9
0.542546,0.665513,0.842466,7.5,7.96,14.32,512,0.0,2.0,157.8,1343,D10,U420,4,21.0,23.0,56.0,25.6
0.734167,0.924566,1.066513,7.5,7.78,17.34,72,7.2,5.1,631.7,1362,D20,U420,4,25.0,16.0,59.0,49.6
0.483493,0.584342,0.717306,7.5,8.03,16.44,518,11.7,1.8,528.7,1318,E30,U112,1,39.0,23.0,38.0,16.8
0.752255,0.917691,1.042044,7.3,7.52,21.5,138,11.7,6.4,725.3,1322,D10,U420,3,21.0,23.0,56.0,64.3
0.828507,0.992065,1.092644,7.4,7.6,20.2,89,11.8,6.8,569.8,1364,C10,U420,4,25.0,16.0,59.0,75.0
0.793934,0.958561,1.076183,7.5,7.76,19.08,177,9.2,5.4,370.0,1312,D20,U420,2,23.0,19.0,58.0,55.4
0.504845,0.646438,0.789901,5.0,5.48,7.82,0,5.9,1.2,100.6,1315,B11,U111,4,28.0,34.0,38.0,10.3
0.497018,0.622936,0.803357,7.5,7.95,14.03,624,0.0,1.5,249.2,1281,D10,U420,3,22.0,44.0,34.0,13.6
0.620569,0.724402,0.841469,7.3,7.66,16.76,363,7.3,2.0,179.9,1361,C22,U420,2,18.0,38.0,44.0,34.1
0.536561,0.641817,0.758359,7.6,8.0,18.35,503,31.0,1.0,524.9,1079,B31,U111,3,38.0,21.0,41.0,15.7
0.484323,0.624643,0.732358,6.6,6.87,4.82,1,0.0,0.5,36.6,1155,C10,U420,4,5.0,79.0,15.0,6.3
0.43834,0.555225,0.697957,5.4,5.79,6.21,1,57.2,0.8,128.2,1079,E30,U111,3,18.0,43.0,39.0,6.5
0.542184,0.718287,0.912795,5.8,6.31,5.39,0,18.4,0.8,140.9,1121,B31,U111,3,16.0,60.0,24.0,6.1
0.726571,0.862157,1.028859,7.3,7.69,15.97,11,56.2,2.1,513.0,1061,B13,U111,1,40.0,22.0,38.0,20.2
0.813239,0.975434,1.098065,7.2,7.38,44.4,8,21.6,4.7,395.9,1358,D20,U420,4,35.0,15.0,50.0,44.7
0.515278,0.627458,0.771209,7.5,8.05,15.72,688,20.7,1.0,329.2,1077,B13,U111,3,25.0,39.0,37.0,6.7
0.687714,0.916565,1.089593,7.4,7.68,12.24,39,8.6,3.7,390.1,1242,C10,U420,4,35.0,15.0,51.0,35.3
0.56619,0.747925,0.929418,7.5,7.95,17.06,264,33.1,0.9,396.4,970,B11,U111,2,32.0,38.0,30.0,6.8
0.607294,0.785917,0.898715,7.7,8.08,13.84,97,21.2,1.0,451.0,1118,F40,U112,2,36.0,16.0,48.0,13.2
0.667693,0.855187,1.024224,7.3,7.45,11.35,2,46.1,1.5,563.7,1146,B13,U111,1,30.0,44.0,26.0,12.5
0.553576,0.638877,0.736835,7.8,8.18,18.02,290,19.3,0.7,268.7,1160,E20,U410,2,38.0,17.0,45.0,23.1
0.736995,0.910653,1.041665,7.1,7.35,16.8,45,11.8,7.9,858.2,1156,C23,U420,2,23.0,20.0,57.0,77.0
0.534669,0.578776,0.715665,8.0,8.29,17.28,168,10.1,0.8,536.1,1009,F40,U112,2,47.0,13.0,40.0,10.6
0.562064,0.718424,0.871155,5.8,6.13,6.44,1,6.2,3.4,206.2,1060,C22,U420,1,22.0,28.0,50.0,37.4
0.616171,0.813869,0.940435,7.4,7.96,14.78,409,5.4,1.6,320.8,1046,C23,U420,3,35.0,22.0,43.0,18.5
0.69174,0.884111,1.037915,7.4,7.7,14.05,71,7.1,4.2,342.9,1237,C23,U120,4,27.0,18.0,55.0,51.7
0.52829,0.756107,0.897937,4.8,5.09,9.22,0,36.6,1.1,106.9,1110,B54,U111,3,22.0,45.0,33.0,13.1
0.697549,0.866061,1.019179,7.2,7.78,16.04,71,58.4,2.5,675.4,1030,B13,U111,4,41.0,23.0,36.0,23.2
0.662181,0.804402,0.912566,7.5,7.87,16.9,463,11.5,4.9,291.7,975,D20,U420,4,18.0,27.0,54.0,60.5
0.68345,0.868062,1.011024,7.3,7.52,13.97,32,6.8,2.4,214.5,953,C10,U420,3,14.0,58.0,28.0,31.2
0.698454,0.833158,0.914754,7.4,7.73,19.97,329,9.1,5.8,165.5,998,C10,U420,3,17.0,22.0,61.0,76.6
0.386425,0.4627,0.632378,7.6,8.07,15.06,730,44.7,0.8,195.7,1138,B31,U111,1,34.0,21.0,45.0,5.6
0.713021,0.845974,0.934009,7.4,7.69,20.4,333,11.8,6.2,338.2,1131,D20,U420,4,12.0,36.0,53.0,85.2
