,ANN
RGB_phc_oc,0.657
RGB_phh_oc,0.658
RGB_ec_oc,0.656
RGB_caco3_oc,0.653
RGB_p_oc,0.659
RGB_n_oc,0.658
RGB_k_oc,0.654
RGB_stones_oc,0.655
