,ANN
RGB_phc_oc,0.653
RGB_phh_oc,0.645
RGB_ec_oc,0.659
RGB_caco3_oc,0.645
RGB_p_oc,0.655
RGB_n_oc,0.64
RGB_k_oc,0.651
RGB_stones_oc,0.655
