,ANN
RGB_phc_oc,0.642
RGB_phh_oc,0.638
RGB_ec_oc,0.65
RGB_caco3_oc,0.665
RGB_p_oc,0.653
RGB_n_oc,0.648
RGB_k_oc,0.643
RGB_stones_oc,0.635
