,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.6645754396706758,0.6507988358506371,0.6694256356020352,0.6449311577220713,0.6910107491332371,0.6455133442316476,0.6408651529330218,0.6926282263779329
I-0-1,0.669380209806826,0.6510036343135196,0.6643724178251796,0.631479824252299,0.6420786916173461,0.6422209844998847,0.6394529104551618,0.6449708607498957
I-0-2,0.672362672491725,0.6144383776565874,0.6662233333014576,0.630958686325132,0.6493839597072442,0.6512775374927513,0.6820519961869551,0.6396026594291436
I-0-3,0.6513389689007898,0.651991070573332,0.6386595934726482,0.669709834406544,0.6451975877776077,0.6500648576273154,0.6367682464312856,0.6701247385342479
I-0-4,0.6323321635100613,0.6394065399532249,0.6381168208353378,0.633959740959482,0.6955256424247045,0.6283831726706677,0.6453847532564855,0.6372082740067293
I-0-5,0.6500952083619056,0.6673149681270623,0.668269234986921,0.6403321149356571,0.6419373836973674,0.647053219564984,0.6758343312343247,0.651621803291448
I-0-6,0.650547857239599,0.6495805229484553,0.6703169932346041,0.6519779489000532,0.6792034028084721,0.6369407807613061,0.6435733669090631,0.6503420887467268
I-0-7,0.6447007812416907,0.6461687741763438,0.6379452682266863,0.6504387905489223,0.6236959379240203,0.6476962523104626,0.6502178285669034,0.6841863286000309
I-0-8,0.6557979945042497,0.6518371138834551,0.6428359742171001,0.6480758758250407,0.6499614074611643,0.6432792913629518,0.6462642663231976,0.6383213553679745
I-0-9,0.6434790656174512,0.6313387652582663,0.6914277239837192,0.6466654040756084,0.6340818476702139,0.6052230857172478,0.6482015863524485,0.6366737149148387
