,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.6514977925627994,0.6457819642570202,0.6512697877744501,0.6349358621414833,0.6507287163920481,0.6494121264192216,0.6483476960501617,0.6440750559685782
I-0-1,0.6565982286840257,0.5985536324082824,0.6684013188885107,0.6453716230585126,0.6355316444671407,0.6650942649352217,0.6509677775365703,0.6431464154458901
I-0-2,0.6519757130371986,0.6308594404334116,0.6042944504593963,0.6387808844316768,0.6316014747930101,0.644339476557272,0.6458114455702744,0.6509313675041594
I-0-3,0.650044765615729,0.6260090151068947,0.6513713136148424,0.6505242532828338,0.5987933100566933,0.6027250599909092,0.6478823608843497,0.6414801561049234
I-0-4,0.6438624028095485,0.6067061161942311,0.6507200328501115,0.6207404839429738,0.6470934831060591,0.6514697290808424,0.659600662791107,0.6491994180882146
I-0-5,0.6449384042270745,0.661754529861978,0.651132955654751,0.646652240750081,0.6496158811745955,0.6640277855284902,0.6321403121833693,0.6531359975036788
I-0-6,0.6451980451014623,0.6467806051120244,0.6131766446180218,0.6348127717244569,0.6493700262787284,0.6503235657518178,0.6368049371327547,0.6521718681527924
I-0-7,0.6642823077178722,0.6508866501573037,0.6482870030468609,0.6747097587824018,0.6504050357380493,0.6914017791069207,0.6413164746405384,0.6349444645901341
I-0-8,0.6392154730549617,0.676083492234862,0.6532195702950674,0.6480009370152593,0.6519789316471624,0.631390034006724,0.6438338063746372,0.6436565134074164
I-0-9,0.652752514540184,0.6526292768444246,0.6521997356571992,0.6521351293034412,0.6489290141588997,0.6184791340678484,0.6450318124631045,0.629263884631937
