,ANN
RGB_phc_oc,0.706
RGB_phh_oc,0.702
RGB_ec_oc,0.711
RGB_caco3_oc,0.706
RGB_p_oc,0.707
RGB_n_oc,0.69
RGB_k_oc,0.709
RGB_stones_oc,0.694
