,phc_oc,phh_oc,ec_oc,caco3_oc,p_oc,n_oc,k_oc,stones_oc
I-0-0,0.3033945594895879,0.1825059516132431,0.1832199290544788,0.0213897187876873,0.0443904560439754,0.865066218990354,0.005545633710412945,0.0033257755013789136
I-0-1,0.3070346156116761,0.1686650154679035,0.1424177094530906,0.0220840680940521,0.0427527070575625,0.8779315078516851,0.006524811326731439,0.0035441678345364824
I-0-2,0.2635683470729018,0.1507260879910137,0.2005388104026512,0.0201226985779159,0.0663639131125697,0.8693394648501427,0.013953847812784637,-0.00018218800409330882
I-0-3,0.2675749111744504,0.1605864681020691,0.1813282988203671,0.0204526660069728,0.0702532006482273,0.8666123379141689,0.008620397453658168,-8.233150379721721e-05
I-0-4,0.2687485846951621,0.1730930003634373,0.1985004685927204,0.0160741611829077,0.0549722736110962,0.8380498078160061,0.007525817735722695,0.002447033126259379
I-0-5,0.2303897447651905,0.1577548270480131,0.1619706388640047,0.0138340572817206,0.0675987591190336,0.8573814853864581,0.005383480944658903,-0.000765380154021944
I-0-6,0.2705531361237118,0.1500697063343126,0.2060161923552494,0.0112707644280998,0.04399563314685406,0.8547698326043867,0.002274431725685977,-0.0046026572083355255
I-0-7,0.3818557287224579,0.200269937247232,0.1452311178810973,0.0126898486804815,0.048083180885503896,0.8758918692316174,0.0004895884178309773,-0.003229523136188739
I-0-8,0.334163978821596,0.1690790369897487,0.1529960981457081,0.0169151291429291,0.07269052740927906,0.8771683630349565,0.006381999336659949,-0.0028441117368864788
I-0-9,0.332804653996016,0.183329737481531,0.1840797068565088,0.0174979752567648,0.07659125523405907,0.8611454685243055,0.009683565944279438,-0.007335695603429171
