,ANN
RGB_phc_oc,0.706
RGB_phh_oc,0.715
RGB_ec_oc,0.69
RGB_caco3_oc,0.702
RGB_p_oc,0.704
RGB_n_oc,0.682
RGB_k_oc,0.71
RGB_stones_oc,0.701
