,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.1167133182286968,0.11258424951758583,0.05225723823686412,0.16701512561117982,-0.20646265620803628,0.6560285128801631,-0.06513005712341391,0.01620407035384719
I-0-1,0.11898537310082824,0.11244079956993458,0.02466710484849799,0.13742935929995181,-0.22336378251518796,0.6049444349611076,-0.0747472297100984,0.01788736560007287
I-0-2,0.14994677412361102,0.1378081221760188,0.04632588837687723,0.16172468000152418,0.03285775567535543,0.604376794321712,-0.3741388057780435,0.009530371541512817
I-0-3,0.16139265813098913,0.14681282602886947,-0.027671427210222976,0.160055539788581,0.003595374397496909,0.5503151305347447,-0.22517780527496667,0.021919242016143814
I-0-4,0.1378354457357822,0.12696105323268037,-0.010107533032840843,0.14146800138349025,0.0010596657488511907,0.5764371297156807,-0.1477825803302013,0.012703751686685583
I-0-5,0.15443747891468096,0.14108640582586407,-0.10422044637979977,0.14584883757759792,-0.15982383998045457,0.5346794416905809,-0.2476625166498081,0.020543625192577575
I-0-6,0.12550661781582007,0.11820674337877823,-0.0015165875824421082,0.16875001418989521,-0.2606662667742936,0.6399367014081156,-0.2546811930693509,0.006316614894523731
I-0-7,0.13705165722578194,0.12398585017286912,0.051438343117276464,0.16286778297044913,0.01725193982238693,0.607825282895994,-0.1970592202761361,0.013363639188095355
I-0-8,0.1147965807267598,0.098527984719461,-0.028167379746419918,0.08336799753791035,-0.23657588176936395,0.5972310596839459,-0.3314385694293549,0.016194569490811217
I-0-9,0.16499652308448343,0.1463271295935893,0.06295573324500792,0.19603332929347217,0.007633584063841514,0.595265767059515,-0.13848174081069264,0.01585811137620119
