,ANN
RGB_phc_oc,-7.72
RGB_phh_oc,-7.481
RGB_ec_oc,-28.05
RGB_caco3_oc,-1.909
RGB_p_oc,-31.042
RGB_n_oc,-4.853
RGB_k_oc,-53.283
RGB_stones_oc,-0.919
