,ANN
RGB_phc_oc,0.141
RGB_phh_oc,0.128
RGB_ec_oc,0.07
RGB_caco3_oc,0.154
RGB_p_oc,0.039
RGB_n_oc,0.602
RGB_k_oc,-0.085
RGB_stones_oc,0.021
