,RGB-phc_oc,RGB-phh_oc,RGB-ec_oc,RGB-caco3_oc,RGB-p_oc,RGB-n_oc,RGB-k_oc,RGB-stones_oc
I-0-0,0.7874457909232568,0.7686556516462616,0.8036282732425923,0.7874648138307557,0.7981109518525235,0.9174230640373032,0.7676432973644518,0.7620470536010364
I-0-1,0.7862310196904257,0.7338804116210134,0.7716859288555369,0.7534690793641201,0.771494383661146,0.920514265501449,0.7724722048880586,0.7420918463777018
I-0-2,0.7670420081892058,0.7528625014866764,0.7630956581226582,0.7260209370574564,0.7285443945314287,0.915484905220214,0.7828243842085387,0.7556921921768415
I-0-3,0.7470201348685072,0.7392225800273968,0.7126035612384897,0.6640576640025048,0.659819402626256,0.9189659024728024,0.7275696021096465,0.7172719671091585
I-0-4,0.6647059208880144,0.7148634858166855,0.7653320978560334,0.6782661773100667,0.7421678102668847,0.91367395974208,0.7336670454372944,0.7119220546091267
I-0-5,0.6717262125274017,0.6885742875947742,0.7779234266827194,0.702189627170561,0.6632758215429566,0.9133224969537308,0.7112668552071755,0.6620467658848501
I-0-6,0.741063718159396,0.7495775610240556,0.7589037218017498,0.7372680898352315,0.7508598628910446,0.9082881916745302,0.7258582325533508,0.7029457101448664
I-0-7,0.7586667350578389,0.7547842929822434,0.747212370658251,0.7205980164568614,0.7218957341125019,0.912024729562584,0.7449946820147206,0.7119299592437367
I-0-8,0.7748046407512392,0.7857764605673407,0.7573783684888358,0.7434996366087402,0.7392425236772198,0.92351121347139,0.7551141530446839,0.7298848073658866
I-0-9,0.7566304027540012,0.7361503661453042,0.684026640024576,0.7217072274099445,0.7324895812404497,0.9219466345157928,0.7189250588078109,0.6273069780068243
