,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.7376543450853379,0.7338820734155096,0.7600947799346973,0.7167050032491946,0.7336224308188719,0.73554556184582,0.7346496508628796,0.7126684309547924
I-0-1,0.7189160025012602,0.7098443918052131,0.7290348735165613,0.690978649066629,0.7165797040218038,0.688829160495226,0.7402122350933937,0.7200406375804598
I-0-2,0.7305291750727401,0.7306544678569596,0.739196905618167,0.7337280597390827,0.7308042087433352,0.7298354755328498,0.7395499013436262,0.6275306235371072
I-0-3,0.6726045112695315,0.6723864099329617,0.6832898389432329,0.6782445458068769,0.6990903250620859,0.6967018095783654,0.6427386944118989,0.6231527250432075
I-0-4,0.6815778744811769,0.6805328462490644,0.6645567584266472,0.6779107447477697,0.6731772940039347,0.662403916357301,0.6775002712494029,0.6399360648031948
I-0-5,0.6659590425979434,0.6859719936340942,0.6392235287784827,0.6529950194594734,0.670136316101978,0.6610032075981049,0.6689171561299885,0.6314504029131112
I-0-6,0.7034112367608957,0.6963343836322258,0.6847770830126079,0.7039541021716873,0.6800715572393952,0.6175504513211183,0.687071929525821,0.6662851723312775
I-0-7,0.6689841398569983,0.6650351883297303,0.6901376700041065,0.6930332653644868,0.6957298827560408,0.6582579567334653,0.6841500369472494,0.6543942066604052
I-0-8,0.6940444710633131,0.6870713285754924,0.7154169028780824,0.6421469562716811,0.7147062223792446,0.6904265112599379,0.7186563592847804,0.6717699703668583
I-0-9,0.6742748406954977,0.6786102188493321,0.6824519174676071,0.6317076460515989,0.6850984727527245,0.6729382101270882,0.6712758548515987,0.6297387047142649
