,RGB_phc,RGB_phh,RGB_ec,RGB_caco3,RGB_p,RGB_n,RGB_k,RGB_stones
I-0-0,0.2666147443123995,0.2596905648085097,0.1977797017089096,0.2065338052841701,0.0529201841894818,0.7002231065558369,0.0037781258210216606,0.01619426185309203
I-0-1,0.2741157654932068,0.2519207065729374,0.1429877031465397,0.1569256111533271,0.0533035416406471,0.6615003010846532,0.0036121991763350403,0.04934189371085829
I-0-2,0.2830480125410498,0.2799214243256517,0.0985886178553379,0.1767237463787974,0.081114367022575,0.6373241138312795,-0.0282684520860621,0.03012059736296191
I-0-3,0.2888733078424519,0.2813946025269405,0.1084300858907442,0.2025404698887114,0.0576475717750685,0.4912619627795132,0.0008924730866953778,0.028082105856179207
I-0-4,0.2878364191012503,0.2737579797383906,0.1099420147586729,0.1934745762683739,0.0464802975326098,0.5822833824574045,-0.01222822426678305,0.0333366203759059
I-0-5,0.2462958167337269,0.232261767765044,0.0371255442304467,0.1583784847186163,0.02825064944444311,0.5442273180484456,-0.0009173384586327327,0.04907981602423195
I-0-6,0.2665029163254587,0.2616456892375526,0.1688063763103007,0.182579155213361,0.03458291040379324,0.6656656066513613,-0.017431605868746702,0.02601753761726766
I-0-7,0.3004979378309809,0.2769822422752722,0.0953802392934408,0.1737189121456578,0.04797558763832199,0.6040096653266259,-0.0011362676712651787,0.027848190885630286
I-0-8,0.2731031020238601,0.2596496855984834,0.0677790456813191,0.1431217950977431,0.07258458444176896,0.6432924022117119,0.013947863382226089,0.029382241816058974
I-0-9,0.3037747167772489,0.2863830206477065,0.1406546799270716,0.2268189387989468,0.06956484657695883,0.619912963225941,0.0055298284257716546,0.028256957548314476
