,ANN
RGB_phc_oc,0.137
RGB_phh_oc,0.125
RGB_ec_oc,0.088
RGB_caco3_oc,0.153
RGB_p_oc,0.06
RGB_n_oc,0.602
RGB_k_oc,-0.005
RGB_stones_oc,0.021
