,RGB_oc
I-0-0,0.7709489879122707
I-0-1,0.7260811555863032
I-0-2,0.7300154188401269
I-0-3,0.6446345577813588
I-0-4,0.5916892891330727
I-0-5,0.6552705524317131
I-0-6,0.6963743964742584
I-0-7,0.6981320726326916
I-0-8,0.7195974246473114
I-0-9,0.687326802701829
