,ANN
RGB-phc_oc,0.0
RGB-phh_oc,0.0
RGB-ec_oc,0.0
RGB-caco3_oc,0.0
RGB-p_oc,0.0
RGB-n_oc,0.0
RGB-k_oc,0.0
RGB-stones_oc,0.0
