,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.12693898100789336,0.11529844685356128,0.17005170989274132,0.16835476254241266,0.05086891603030197,0.6616760278910513,0.00828579347703251,0.020068422468914382
I-0-1,0.13774309463709544,0.12416251128074363,0.1395156943677861,0.1283541035163256,0.05376480885725332,0.628577822930145,0.0047306578385192255,0.029470794432650105
I-0-2,0.12969792722776374,0.1207166039072829,0.06412643518834849,0.16239046749269515,0.09047177694176367,0.5992064712032728,0.011718381966578817,0.01368041715922308
I-0-3,0.1324176599003074,0.12708778812949906,0.0699139164355913,0.17029913488195647,0.06391581713096084,0.5566079785953681,-0.0033714049095514564,0.022803940991951155
I-0-4,0.12829112142210175,0.11988957037506331,0.07672647265232202,0.14385764821838154,0.052534766128732535,0.579309393056054,0.003498212688906044,0.025906850452401264
I-0-5,0.15240232892352312,0.13805581886657026,0.0038068362685664825,0.15416557462010205,0.04365175655428377,0.556483970126777,-0.017227493206157796,0.027824240835013447
I-0-6,0.138212272626412,0.12640513059663194,0.12054861735860611,0.1633208819767431,0.05069180444827037,0.6319993780487317,-0.0029059502894652756,0.00960988797793183
I-0-7,0.15248388021605308,0.1357100001296021,0.06879391907198762,0.16387794633655606,0.05491951851378685,0.6004874377151941,-0.014943456969156887,0.01875704294844638
I-0-8,0.11441823673354079,0.09842023254797017,0.05345578505013471,0.0828665882906161,0.06279876452838595,0.5986174923434604,-0.021140599180683894,0.018711388402064655
I-0-9,0.15920268858346764,0.14480214444768802,0.11402657498241442,0.19594866629984065,0.07452097586091344,0.606360714135402,-0.015350804842241716,0.025797612395676572
