,ANN
RGB_phc_oc,0.711
RGB_phh_oc,0.713
RGB_ec_oc,0.694
RGB_caco3_oc,0.698
RGB_p_oc,0.686
RGB_n_oc,0.696
RGB_k_oc,0.694
RGB_stones_oc,0.69
