,ANN
RGB_phc_oc,0.138
RGB_phh_oc,0.126
RGB_ec_oc,0.007
RGB_caco3_oc,0.152
RGB_p_oc,-0.102
RGB_n_oc,0.597
RGB_k_oc,-0.206
RGB_stones_oc,0.015
