,ANN
RGB_phc_oc,0.142
RGB_phh_oc,0.127
RGB_ec_oc,0.097
RGB_caco3_oc,0.155
RGB_p_oc,0.038
RGB_n_oc,0.603
RGB_k_oc,0.001
RGB_stones_oc,0.022
