,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.12085789929319979,0.10693965187645438,0.17225012214456692,0.157095318769097,0.04788585153065239,0.6615034787458367,0.009017907650415546,0.02222367427059946
I-0-1,0.13418755823546824,0.11864478528142497,0.1110250012879237,0.1409232138256653,0.013174476806991686,0.6223741329682737,-0.023850235255278074,0.030209213389822964
I-0-2,0.14845620692560346,0.13672444314185705,0.05556440138606977,0.1527514523891308,0.0851634629003526,0.6023993669797831,-0.001211329233074876,0.012350126023938368
I-0-3,0.15801333447251742,0.144658238276843,0.07304201949176459,0.1702239202854694,0.06331258799011164,0.5522759080632043,0.006853959411924793,0.023045694427133223
I-0-4,0.13925806319569567,0.12811541369217272,0.08784585855785798,0.1441575626962992,0.04136702278119608,0.5844235685173741,0.009100895779102891,0.02590161525379242
I-0-5,0.15615994254367105,0.1418034515148927,0.012305916350707546,0.15446450837068915,0.040687391784703264,0.5614171919382155,-0.00688679899665634,0.028436147960388958
I-0-6,0.14323131845130832,0.12908047506215414,0.13668705068788312,0.1623563862598385,0.04866231941880983,0.6338861415307555,0.00931757226712715,0.011230093884459835
I-0-7,0.15230502057539796,0.1354337502398021,0.07862234242792188,0.1638337253902199,0.026419082734662647,0.6043703967909498,0.00039403488451261737,0.01780608229807612
I-0-8,0.11518546955896758,0.09862494494615826,0.06055290686415471,0.0834378925722129,0.062074975115520625,0.5988328154169738,0.0009796036076877845,0.018583973984945046
I-0-9,0.16331828155521766,0.14598458142509008,0.12002249978419521,0.19635117450126105,0.07348951494016143,0.6055150452971497,0.004179582293460826,0.026190099633222386
