,ANN
RGB_phc_oc,0.714
RGB_phh_oc,0.72
RGB_ec_oc,0.692
RGB_caco3_oc,0.704
RGB_p_oc,0.695
RGB_n_oc,0.687
RGB_k_oc,0.694
RGB_stones_oc,0.7
